10,126,134.3,160
20,128,143.3,255
30,123,135.1,300
40,123,143.55,379
50,121,164.68,792
60,123,155.617,732
70,124,167.586,859
80,122,166.85,964
90,123,193.078,950
100,125,233.35,1955
110,127,251.682,1642
120,127,288.775,1975
130,125,495.523,5700
140,75,385.257,5927
150,128,520.84,6030
160,128,768.45,5852
170,77,345.224,5864
180,78,380.289,8074
190,79,382.416,7598
198,80,517.667,8703
208,81,473.771,9399
218,83,307.303,9066
228,86,399.081,7598
238,86,314.925,7742
248,86,360.169,7013
258,85,609.031,9567
268,88,461.945,8466
