11,108,123.182,157
21,115,134.333,221
31,107,130.032,214
41,108,142.415,303
51,112,143.843,320
61,110,154.246,415
71,115,184.817,558
81,111,185.444,710
91,125,249.615,1363
101,119,279.119,1655
111,123,266.919,1468
121,127,283.645,1307
131,133,482.947,2449
141,138,529.518,2343
151,135,731.728,2822
161,146,889.335,4121
171,149,978.193,3593
181,196,2337.44,5156
191,182,2941.37,6528
201,214,3409.32,7558
211,237,3586.45,9389
221,263,3968.99,9609
231,725,4179.8,9934
241,1124,4633.46,13093
251,1229,5376.62,15352
261,1323,5450.81,17605
